178,30,2
109,162,1
104,107,1
151,191,1
337,164,3
160,283,2
238,399,1
335,202,3
253,291,1
131,126,1
133,246,2
291,80,3
274,337,1
58,127,2
268,103,3
196,29,2
197,205,2
146,232,2
104,230,2
268,68,3
253,58,3
159,172,1
285,238,1
61,163,2
6,154,3
258,12,3
170,341,1
299,85,3
129,56,2
287,35,3
159,181,1
138,36,2
163,136,1
102,196,2
97,185,2
48,198,3
291,207,3
269,350,1
253,11,3
273,75,3
277,375,1
317,70,3
63,224,3
266,13,3
327,99,3
144,103,1
214,391,1
314,128,3
134,167,1
275,287,1
84,69,2
115,249,2
166,224,2
343,248,3
269,239,1
211,263,2
288,155,3
216,115,1
80,327,3
328,175,3
257,196,1
97,295,3
177,61,2
281,32,3
269,324,1
256,135,1
196,181,1
295,94,3
65,132,2
49,100,2
246,241,2
191,268,2
243,255,2
213,317,1
224,372,1
74,241,3
270,24,3
190,287,2
74,174,2
176,241,2
91,303,3
97,347,3
205,318,1
284,295,1
81,254,3
250,288,1
84,151,2
32,185,3
250,219,2
60,294,3
99,271,3
71,103,2
79,319,3
204,238,2
290,173,3
273,273,1
140,155,1
169,62,2
68,106,2
243,205,2
318,204,3
341,218,3
9,216,3
171,142,1
126,35,2
211,66,2
269,12,3
144,144,1
243,325,1
19,169,3
150,357,1
61,139,2
152,198,1
326,176,3
234,108,1
103,167,1
106,297,3
273,93,3
111,192,2
198,153,1
282,128,3
169,223,2
190,287,2
52,208,3
28,261,3
211,34,2
128,173,1
287,98,3
112,151,1
244,330,1
71,196,3
2,171,3
23,240,3
256,127,3
265,332,1
273,116,3
91,297,3
143,18,2
235,409,1
28,204,3
207,201,1
91,151,1
175,188,1
192,327,1
156,201,1
45,181,3
296,290,1
254,280,1
188,303,1
137,164,1
8,218,3
192,118,1
158,362,1
254,264,2
92,206,2
162,339,1
195,379,1
129,83,2
56,257,3
173,71,2
119,207,2
177,273,2
265,216,1
149,266,2
306,202,3
263,328,1
321,215,3
268,14,3
189,374,1
198,401,1
45,202,3
217,165,1
21,200,3
130,213,2
328,194,3
248,352,1
172,269,2
269,262,1
30,276,3
304,92,3
41,258,3
173,205,1
179,30,2
257,376,1
246,400,1
198,317,1
272,160,3
148,47,2
355,175,3
181,107,1
343,184,3
21,151,3
208,394,1
111,334,3
76,134,2
292,294,1
213,253,2
307,169,3
218,300,1
31,271,3
280,18,3
315,182,3
339,192,3
137,133,1
146,339,1
240,391,1
87,287,3
205,49,2
30,262,3
112,180,1
335,206,3
105,90,2
